error_type,specific_dialogue_content,prediction,is_fraud,interaction_strategy,call_type,fraud_type
漏报(FN),"left: 喂，你好，是李老板吗？
right: 你好，我是，你是？
left: 哦，李老板，我是中国银行的客户经理张明，我们这边看到您的企业最近有资金需求，特地给您打电话，了解一下您是否有贷款的意向？
right: 贷款？我现在资金周转挺好的，暂时不需要。
left: 嗯，好的，不过李老板，我们这次推出的贷款产品非常优惠，利率低，审批快，不需要抵押，如果您有需要的话，我可以详细跟您介绍一下。
right: 听起来不错，不过我现在确实没有这方面的打算。
left: 那李老板，您方便加我微信吗？我可以把详细的贷款资料发给您，如果您将来有需要，可以直接联系我，不会打扰到您。
right: 好吧，你把微信号发给我吧。
left: 好的，我的微信号是ZhangMing888，您加一下，我这边把资料发给您。
right: 好的，我加了。",0,True,Factual Authenticity / Truthfulness,咨询客服,客服诈骗
漏报(FN),"left: 喂，你好，我是中海银行的客户经理，小张。
right: 你好，有什么事情吗？
left: 我们最近推出了一款特别优惠的信用贷款服务，年利率只有百分之二点五，你最近有没有资金需求呢？
right: 哦，暂时没有这个需求。
left: 嗯，了解了。不过如果你有需要的话，可以加我的微信，随时咨询。
right: 好的，可以加一下。
left: 太好了，我的微信号是zhonghai2023，加我时备注一下你的名字，我好通过。
right: 好的，知道了。
left: 另外，如果你有朋友需要贷款服务，也可以推荐给他们，我们这里还有推荐奖励哦。
right: 好的，我会考虑的。谢谢你的信息。",0,True,Factual Authenticity / Truthfulness,咨询客服,银行诈骗
漏报(FN),"left: 您好，这里是XX银行客服中心，我是客服代表小李。我们监测到您的账户近期有异常活动，为了您的资金安全，我们需要核实一些信息，请问您现在方便吗？
right: 您好，小李。谢谢您的提醒，但我近期没有进行过任何异常的交易。为了确保我的账户安全，我需要确认一下您的身份。您可以提供一下您的工号和客服热线吗？
left: 理解您的担忧，这是我的工号00789，您可以通过拨打我们的官方客服热线400-123-4567来核实我的身份。不过，为了不耽误您的时间，我们可以先进行简单的信息核对，确保您的账户安全。您看这样可以吗？
right: 好的，谢谢您的理解。我会稍后拨打客服热线确认。不过，现在我也想先了解一下，您说的异常活动具体是指什么？我需要特别注意哪些方面？
left: 没问题，异常活动主要是指您的账户近期有几笔不明来源的转账，可能是由于您的账户信息泄露导致的。为了安全起见，我们需要核对您的身份信息，确保这些交易是您本人操作的。您可以先告诉我您的姓名和身份证后四位吗？这样我们可以快速进行核实。
right: 抱歉，在没有确认您的真实身份之前，我是不会提供这些个人信息的。我建议您可以通过银行官方渠道发布公告，而不是通过个人电话联系客户。这听起来有点可疑。",0,True,Factual Authenticity / Truthfulness,咨询客服,客服诈骗
漏报(FN),"left: 您好，这里是某某银行客服中心，我是客服代表小李。请问您是张先生吗？
right: 您好，我是张先生。有什么事情吗？
left: 好的，感谢您的配合，我们会尽快处理您的问题。如果还有其他疑问，您可以随时联系我们的客服热线。再见。
right: 好的，谢谢。再见。",0,True,Factual Authenticity / Truthfulness,咨询客服,银行诈骗
漏报(FN),"left: 您好，我是来自速递服务公司的客服代表，您的包裹在最近的检查中发现有异常，请问您是否最近有快递需要接收？
right: 您好，最近确实有一个包裹在等我，不过我一般都会收到通知的。这个包裹有什么问题吗？
left: 好的，如果您有任何疑问，请随时联系我们。我会记录您的信息并处理。祝您有美好的一天。再见。
right: 好的，谢谢您的帮助。如果真的有问题，我会再联系您的。再见。",0,True,Factual Authenticity / Truthfulness,咨询客服,客服诈骗
漏报(FN),"left: 你好，我是来自顺丰快递的客服人员，您的一个包裹在运输过程中被发现有问题，需要您配合处理。
right: 顺丰快递？我最近确实有个包裹。不过你说有问题？具体是什么问题？我怎么知道你真的是顺丰的客服？",0,True,Factual Authenticity / Truthfulness,咨询客服,客服诈骗
误报(FP),"left: 喂，你好，是李华吗？
right: 是的，你是谁啊？
left: 我是京东客服专员，你最近在我们平台购买的商品有质量问题，我们需要给你办理退款。
right: 哦，真的吗？那我要怎么操作呢？
left: 为了快速处理，你需要下载我们专门的客户服务APP，点击这个链接就可以下载。
right: 链接？我直接在你们官网处理不行吗？
left: 这个链接是专门为快速处理问题设计的，官网目前无法直接处理，下载后按照提示操作就可以。
right: 好的，我试试看。
left: 下载完成后，请登录你的账号，然后点击客服选项，选择退款服务，按照指示操作即可。
right: 下载好了，我正在按照指示操作。
left: 非常好，如果遇到任何问题，可以随时联系我。另外，为了确保资金安全，你可能需要提供银行卡信息以完成退款。
right: 明白了，银行卡信息我会提供的。
left: 太好了，你的问题很快就会解决。如果有任何疑问，记得加我的微信，我的微信号是LHservice，随时可以咨询。
right: 好的，谢谢你的帮助，我会加你的微信。",1,,Personalization,,
误报(FP),"left: 喂，你好，我是深圳银行的客户经理，小李，你最近有没有资金周转的需求？我们有特别优惠的贷款产品，利息低至两厘，要不要了解一下？
right: 你好，暂时没有这个需求。
left: 好的，不过我还是想给你介绍一下，万一将来有需要的时候可以考虑。你只需要提供一些基本信息，我们就能为你量身定制一个贷款方案。
right: 那你说说看，具体需要提供哪些信息？
left: 你需要提供身份证号、手机号和银行流水，这些信息可以帮助我们更好地评估你的信用。
right: 行吧，那我怎么申请呢？
left: 非常简单，你只需要点击这个链接，填写相关信息，我们的工作人员会尽快联系你。
right: 好的，我试试看。
left: 太好了，你点击链接后，记得保存好验证码，等会儿我们的工作人员会联系你，到时候你把验证码告诉他们就可以完成申请了。
right: 好的，谢谢你。",1,,Clarity,,
误报(FP),"left: 喂，您好，我是小刘，这里是北京银行客服中心。
right: 你好，有什么事吗？
left: 您最近在我行的信用卡使用非常活跃，我们有一个特别的优惠活动，想邀请您参加。
right: 哦，什么活动？
left: 我们有一个投资理财项目，回报率非常高，而且风险很低，非常适合您这样的优质客户。
right: 听起来不错，怎么参加？
left: 您只需要点击这个链接，下载我们的理财APP，注册后就有专人为您服务。
right: 这个APP安全吗？
left: 绝对安全，我们是正规银行推出的官方APP，您可以放心使用。
right: 好的，我试试看。
left: 太好了，您下载后有任何问题都可以随时联系我，我的电话是12345678901。",1,,Personalization,咨询客服,
误报(FP),"left: 喂，你好，我是小张，你懂吗？
right: 嗯，你好，你说吧，什么事？
left: 是这样的，我是深圳银行个贷部的，你之前在我们这里申请的贷款审批已经通过了，三十万，利率非常低，两厘五，你有兴趣了解一下吗？
right: 真的假的？这么快就批下来了？
left: 是真的，我们这里审核效率很高的，而且这次还有个特别的优惠活动，只要你点击这个链接，就能看到详细的贷款信息和优惠内容，非常方便。
right: 好的，我试试看。
left: 太好了，链接我已经发到你手机上了，你点击一下，填一下信息，很快就能完成申请了。
right: 好的，我这就去操作。
left: 好的，有任何问题随时联系我，我的电话是一三三一二三三五六七八。你操作完后，记得告诉我一声，我可以帮你加快审核进度。
right: 好的，我知道了，谢谢。",1,,Clarity,咨询客服,
误报(FP),"left: 喂，你好，我是中行的客服专员，今天给你打电话是因为我们最近有一个特别好的投资理财项目，收益非常高，而且风险很低，你有兴趣了解一下吗？
right: 嗯，我最近确实打算投资一些钱，你能具体说说这个项目吗？
left: 当然可以，这个项目是由我们银行和一家知名的投资公司合作推出的，专为像你这样的优质客户设计。你只需要下载我们的APP，完成注册，就可以看到详细的项目信息了。
right: 下载APP？这样安全吗？
left: 非常安全，我们的APP是经过国家认证的，绝对不会有风险。你可以直接点击我给你发送的链接，下载我们的官方APP，注册后还有新用户福利哦。
right: 好的，那我试试看。
left: 太好了，你下载之后，如果有任何问题可以直接联系我，我会全程指导你。对了，你注册成功后，记得输入推荐码ABCD1234，这样还可以享受额外的优惠。
right: 好的，我知道了，谢谢你的帮助。
left: 不客气，有什么问题随时联系我。希望你能通过我们的平台获得丰厚的收益。祝你投资顺利！",1,,Factual Authenticity / Truthfulness,,
误报(FP),"left: 喂，您好，这里是深州市公安局，我是警官李华。
right: 您好，有什么事情吗？
left: 我们接到报告，说您的银行卡可能涉及到一桩非法交易，需要您配合我们进行调查。
right: 真的吗？那我该怎么办？
left: 为了您的安全，我们需要您将卡内的资金暂时转移到一个安全账户，等调查清楚后会全额退还。
right: 那我怎么转移呢？
left: 您可以登录我们的官方网站，点击安全中心，按照指示操作就可以完成转账。
right: 好的，我马上去操作。
left: 好的，为了方便指导您操作，我加您的微信可以吗？
right: 可以，我加你。",1,,Personalization,咨询客服,
误报(FP),"left: 喂，你好，这里是速购商城的客服专员，你之前在我们平台购买的智能手表我们发现可能存在一些质量问题，需要为你处理一下。
right: 哦，是吗？
left: 是的，为了确保你的权益，我们需要你提供一下购买时的订单号，我们可以为你办理退款或者换货。
right: 好的，那我怎么提供呢？
left: 你可以点击我发送给你的链接，输入你的订单号和验证码，这样我们就可以快速处理了。
right: 好的，我这就去操作。
left: 好的，如果在操作过程中有任何问题，可以随时联系我。
right: 好的，谢谢你。
left: 不客气，祝你生活愉快，再见。
right: 再见。",1,,Factual Authenticity / Truthfulness,,
误报(FP),"left: 喂，你好，我是广信银行的小张，我们这边有一个特别好的贷款产品，不知道你最近有没有资金需求？
right: 哦，贷款啊，我现在手头还行，不过听听看，有什么特别的？
left: 这个贷款产品利息低，门槛也很低，只要你提供身份证和银行流水，就可以快速审核，当天放款。
right: 听起来不错，那怎么申请呢？
left: 非常简单，你只需要点击链接，填写相关信息，就可以申请了。
right: 链接？我怎么点？
left: 我马上发一条短信给你，里面有链接，你点击链接，按照提示操作就可以。
right: 好的，我等着。
left: 好的，稍等一下，短信马上就会发到你的手机上。还有其他问题我可以帮你解答。
right: 那我填完之后，你们多久能审核完？
left: 一般情况下，我们会在一个工作日内完成审核，审核通过后，当天就可以放款。
right: 那太好了，我会尽快填好的。",1,,Factual Authenticity / Truthfulness,,
误报(FP),"left: 喂，你好，我是农业银行天河支行的张经理，我们这边针对优质客户有一个特别的贷款项目，可以提供五十万的信用贷款，无抵押，审批快，不知道你是否有兴趣？
right: 哦，真的吗？我最近确实有点资金需求。
left: 是的，我们这个项目非常适合你。为了确保你的信息准确，我需要你提供一下身份证号码和银行账号，我们这边需要做一下初步审核。
right: 好的，我的身份证号码是123456789012345678，银行账号是6222081234567890123。
left: 好的，我们这边已经记录了你的信息。为了加快审批速度，我需要你下载我们银行的APP，里面有一个专门的贷款申请入口。
right: 好的，我马上去下载。
left: 非常感谢你的配合。下载APP后，请在首页找到‘快速贷款’选项，点击进入后按照提示操作即可。如果遇到任何问题，可以随时联系我。
right: 好的，我知道了。谢谢你的帮助。
left: 不客气，祝你申请顺利。如果有其他需要帮助的地方，随时联系我。
right: 好的，再见。",1,,Personalization,,
误报(FP),"left: 喂
right: 喂，你好
left: 嗨，我是小李，这边是快乐购物网的客服专员，您最近在我们网站上的购买有点问题，需要给您处理一下，您现在方便吗？
right: 哦，什么问题？
left: 您的订单号是一千二百三十四，系统显示您购买的商品出现了库存不足的情况，我们需要为您退款，可以吗？
right: 可以，怎么退款？
left: 好的，为了确保退款流程顺利，我们需要您提供一个验证码，这个验证码我们会通过短信发送给您，收到后告诉我，好吗？
right: 好的，我等着。
left: 好的，稍等一下，验证码已经发送成功，请查收。
right: 收到了，验证码是一二三四。
left: 谢谢，我们正在处理您的退款，稍后会有一个链接发送到您的手机上，您点击这个链接，按照指示操作就可以完成退款了。
right: 好的，那我等会儿看看。
left: 好的，如果有什么问题，可以随时联系我，再见。
right: 再见。",1,,Factual Authenticity / Truthfulness,,
误报(FP),"left: 喂喂，你好，这里是京东客服中心的小李，您的订单出现了问题，需要您配合处理一下。
right: 哦，什么问题呢？
left: 您的订单在配送过程中不慎丢失了，我们需要为您办理退款手续。
right: 那怎么办呢？
left: 为了确保您的资金安全，我们需要您提供一下银行卡信息，以便我们直接将退款打到您的卡上。
right: 好的，那我的银行卡号是……
left: 好的，我已经记录下来了。为了加快退款速度，您需要点击一下这个链接，验证一下您的身份。
right: 好的，我现在就去点击。
left: 非常感谢您的配合，我们会尽快处理。如果有任何问题，可以随时联系我，我的电话是13800138000。
right: 好的，谢谢。",1,,Personalization,,
误报(FP),"left: 喂，你好，我是农商银行的客户经理小张，最近我们推出了一个特别优惠的贷款项目，不知道你是否有兴趣了解一下？
right: 贷款？我是做小生意的，银行贷款门槛不都挺高的吗？
left: 是这样的，我们这次的贷款项目特别针对小微企业，门槛很低，无抵押，利息也非常优惠。你可以考虑一下。
right: 听起来不错，但我是怎么申请呢？
left: 非常简单，你只需要下载我们银行的专用APP，按照提示操作就可以了。我可以发一个下载链接给你，非常方便。
right: 好的，我试试看。你发链接吧。
left: 好的，稍等一下，我马上给你发过去。另外，为了确保安全，你还需要提供一下你的身份证号码和银行账号，我们好进行身份验证。
right: 这样啊，那我等会去查看链接。
left: 好的，你收到链接后记得尽快下载APP并填写资料。如果有任何问题，随时可以联系我。
right: 行，谢谢你。",1,,Clarity,,
误报(FP),"left: 喂，你好，这边是上海银行的客服专员，我是李文，我们注意到你最近在我们银行的账户有一些异常活动，需要核实一下你的信息，确保账户安全。
right: 好的，你说吧，怎么了？
left: 我们发现有人试图从你的账户中转账，为了确保资金安全，我们需要你提供一下银行卡的后四位数字，以及最近的一笔交易金额。
right: 哦，这样啊，我的银行卡后四位是六七七八，最近的一笔交易金额是一百二十元。
left: 好的，已经记录了。我们还需要你提供一下银行预留的手机号码，以便发送验证码确认是本人操作。
right: 行，我的预留手机号码是零一三八五六七八九零一。
left: 好的，验证码已经发送到你的手机，请查收并告诉我验证码是多少，以便我们确认身份。
right: 验证码是三六九二。
left: 谢谢你的配合，验证码正确，账户已经确认安全。我们建议你安装我们银行的新版安全防护APP，可以有效防止此类事件再次发生。
right: 好的，我怎么下载这个APP？
left: 很简单，你只需要点击我发给你的链接，就可以直接下载安装了。
right: 好的，我试试。",1,,Factual Authenticity / Truthfulness,,
误报(FP),"left: 喂
right: 喂
left: 你好，这里是东莞银行，我是贷款专员张华，您最近是不是有资金周转的需求？
right: 嗯，有点儿，但是我也怕遇到诈骗什么的。
left: 理解您的顾虑，我们是正规银行，现在正好有活动，利息非常低，您只需要提供一些基本信息，就可以快速审批。
right: 那需要我怎么做呢？
left: 您只需要扫描这个二维码，下载我们的官方APP，填写相关信息，就可以申请了。
right: 好的，那我试试看。
left: 太好了，下载后如果有任何问题，可以随时加我的微信，我来帮您解决。
right: 行，我加你微信。",1,,Factual Authenticity / Truthfulness,,
误报(FP),"left: 喂，你好，这边是深圳农商银行的，我是客户经理小李，您之前咨询过我们银行的贷款服务，不知道您现在是否有兴趣了解一下？
right: 你好，我最近确实有点资金周转的需要，你能具体讲讲吗？
left: 当然可以，我们有一款专门为中小企业设计的快速贷款产品，无抵押，审批快，利率也相当优惠。
right: 听上去不错，那我怎么申请呢？
left: 您只需要通过我们银行的官方APP提交一些基本资料，审核通过后，资金最快当天就能到账。
right: 哦，这样啊，那这个APP我怎么下载？
left: 非常简单，您可以通过我发给您的链接直接下载。
right: 好的，你把链接发给我吧。
left: 好的，我马上发给您。不过为了确保您的信息安全，您需要先提供您的手机号码，方便我发送验证码。
right: 行，我的手机号是13812345678。",1,,Clarity,,
误报(FP),"left: 喂
right: 喂
left: 你好，我是华夏银行的客户经理，李涛。我们注意到你最近有大额消费记录，可能需要资金周转，我们有一款特别的贷款产品，可以提供给你三十万的备用金，月息很低，只需要百分之零点五，无需抵押，快速放款。
right: 哦，真的吗？我最近确实有点资金紧张。
left: 是的，我们这款产品非常适合你。你可以先加我的微信，我给你发一些详细的资料，你看看有没有兴趣。
right: 好的，可以加你微信吗？
left: 当然可以，我的微信号是LITAO123456，加我之后我会发资料给你。
right: 好的，我加你。
left: 谢谢，如果有什么问题随时联系我。祝你生活愉快。
right: 好的，谢谢。再见。
left: 再见。",1,,Personalization,咨询客服,
误报(FP),"left: 喂，你好，请问是林先生吗？
right: 啊，是的，你是哪位？
left: 你好，我是华信投资的李经理，我们注意到你近期有投资理财的需求，想了解一下你是否有兴趣参加我们的高端理财计划？
right: 投资理财？听起来不错，你们有什么具体的计划吗？
left: 当然，我们有一个非常安全的理财产品，年化收益率可以达到百分之十二，而且风险极低。
right: 哇，这么高？你们的平台可靠吗？
left: 非常可靠，我们的平台已经运营了多年，有很多成功的案例。为了方便你了解更多详细信息，你可以扫描我发给你的二维码，下载我们的官方APP，里面有很多详细的介绍。
right: 好的，我试试看。
left: 太好了，你下载后可以先注册一个账号，然后我会在APP里给你详细介绍这个投资计划。有任何问题都可以随时联系我。
right: 好的，谢谢你的推荐，我会看看的。",1,,Clarity,咨询客服,
误报(FP),"left: 你好，这里是新星金融客服中心，我是客服经理李明。
right: 你好，有什么事吗？
left: 我们注意到你最近有资金需求，可以提供无抵押、低利率的贷款服务，有兴趣了解一下吗？
right: 啊，我最近确实有点需要，能具体说说吗？
left: 当然可以，我们有一款专门针对个人的资金周转贷款，只需要提供身份证信息，不需要任何抵押，就可以获得最高十万的资金支持。
right: 听起来不错，怎么申请呢？
left: 非常简单，你只需要下载我们的官方APP，填写一些基本信息，然后我们会安排专员为你服务。
right: 下载APP？安全吗？
left: 绝对安全，我们的APP经过了国家信息安全认证，你完全不用担心。
right: 好的，我试试看。
left: 太好了，如果你在下载过程中遇到任何问题，都可以随时联系我。祝你使用愉快！",1,,Factual Authenticity / Truthfulness,咨询客服,
误报(FP),"left: 喂，你好，我是来自幸福金融的客服专员，你最近有考虑过投资理财吗？
right: 投资理财？不太了解，你们有什么好的建议吗？
left: 我们有一款特别适合新手投资者的产品，收益稳定，风险也很低，你有兴趣了解一下吗？
right: 可以啊，具体是怎么操作的？
left: 你只需要下载我们的APP，注册一个账号，然后根据指示操作就可以开始投资了。
right: 下载APP？安全吗？
left: 当然，我们的APP是经过官方认证的，非常安全。而且，现在注册还有新用户大礼包，你不会想错过的。
right: 那我怎么下载呢？
left: 你可以在手机应用商店搜索幸福金融，或者我直接发送一个链接给你，点击链接就可以直接下载了。
right: 好，我试试看。",1,,Clarity,,
误报(FP),"left: 喂，你好，我是顺丰快递的客服专员，你有一件快递丢失了，需要我们帮你处理吗？
right: 真的吗？我确实有一件快递很久没收到了。
left: 是的，我们已经确认了，为了补偿你，我们需要你点击一个链接来填写一些信息，然后我们会将赔偿款打到你的账户上。
right: 好的，那我怎么点击链接呢？
left: 你只需要打开你的短信，我们会发一个链接给你，点击这个链接，按照指示操作就可以了。
right: 好的，我等下看看短信。
left: 好的，短信会马上发给你，填写完信息后，我们会在24小时内处理好。如果你有任何问题，可以随时联系我。
right: 谢谢，我会注意查看短信的。
left: 不客气，有任何问题随时联系我，祝你生活愉快。再见。
right: 再见。",1,,Personalization,,
误报(FP),"left: 喂，你好，是张老板吗？
right: 是的，你是谁？
left: 嗨，我是小李，阿里巴巴的客服专员，我们注意到您最近在我们平台上的交易量有所下降，想了解一下是否有什么问题可以帮助解决。
right: 哦，是这样，其实我最近确实遇到了一些问题，有些商品的销售情况不太好。
left: 我理解您的困扰，现在很多商家都在寻找新的销售渠道。我们有一个非常不错的平台，可以帮助您扩大销售，增加利润。
right: 真的吗？那怎么加入呢？
left: 非常简单，您只需要下载我们的商家版APP，注册并完善资料，就可以开始使用了。
right: 那这个APP安全吗？会不会有什么风险？
left: 绝对安全，我们是阿里巴巴官方推出的应用，您可以放心使用。为了方便您操作，我可以发一个链接给您，直接点击链接就能下载。
right: 好的，那发给我吧。
left: 好的，我这就发给您。请注意查收短信，链接马上就会发到您的手机上。下载安装后，有任何问题都可以随时联系我。",1,,Factual Authenticity / Truthfulness,,
误报(FP),"left: 喂，你好，我是工商银行的客户经理，这边有个特别优惠的贷款方案想推荐给你。
right: 贷款？我不需要。
left: 哎呀，了解一下嘛，我们现在有个特别优惠，年利率低至百分之三，而且审批快，手续简单。
right: 真的不需要，谢谢。
left: 那真是太可惜了，不过如果你改变主意了，可以随时联系我，这是我的电话，一三八零零一三八零零零。
right: 好的，谢谢。
left: 还有，我们最近有个特别的活动，只要你下载我们的APP，注册并完成首单贷款，就能获得五百元的现金红包哦。
right: 下载APP？
left: 是的，下载我们的APP，操作非常简单，我发个链接给你，你直接点开下载就好了。
right: 好，我试试看。",1,,Relevance,咨询客服,银行诈骗
误报(FP),"left: 恭喜您中得我们公司举办的特别大奖！您只需支付一小笔手续费，就能领取高达50万元的奖金。请问您现在方便处理这笔奖金吗？
right: 真的吗？听起来太棒了！不过，我之前从来没有参加过你们的活动，怎么会中奖呢？",1,,Personalization,,
